supplier_count,case_id,algorithm_name,random_seed,period,supplier_id,qjt,discount_threshold_Qj,discount_rate_rj,base_price_Pjt,discounted_price_pjt,discount_per_ton,discount_amount,threshold_ratio,reached_discount_threshold,is_active
20,I4_J20,ga_greedy_only,1,1,4,0.000000,1500000.000000,0.000027,879.055731,879.055731,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,5,100000.000000,1500000.000000,0.000030,980.058050,977.042250,3.015800,301580.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,5,0.000000,1500000.000000,0.000030,941.096515,941.096515,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,6,0.000000,1500000.000000,0.000033,897.130788,897.130788,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,6,0.000000,1500000.000000,0.000033,893.248166,893.248166,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,7,0.000000,1500000.000000,0.000050,921.652600,921.652600,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,7,0.000000,1500000.000000,0.000050,907.039295,907.039295,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,8,0.000000,1500000.000000,0.000009,964.597013,964.597013,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,8,0.000000,1500000.000000,0.000009,864.525103,864.525103,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,9,0.000000,1500000.000000,0.000076,996.559651,996.559651,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,9,0.000000,1500000.000000,0.000076,906.757771,906.757771,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,10,0.000000,1500000.000000,0.000049,888.146005,888.146005,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,10,0.000000,1500000.000000,0.000049,971.283957,971.283957,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,11,0.000000,1500000.000000,0.000038,838.189030,838.189030,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,11,0.000000,1500000.000000,0.000038,858.504466,858.504466,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,12,0.000000,1500000.000000,0.000064,964.873022,964.873022,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,12,0.000000,1500000.000000,0.000064,967.958292,967.958292,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,13,449396.331802,1500000.000000,0.000077,942.604206,907.947210,34.656996,15574726.744326,0.299598,0,1
20,I4_J20,ga_greedy_only,1,1,13,100000.000000,1500000.000000,0.000077,915.347772,907.635872,7.711900,771190.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,0,14,100000.000000,1500000.000000,0.000051,987.987089,982.905889,5.081200,508120.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,14,100000.000000,1500000.000000,0.000051,960.342824,955.261624,5.081200,508120.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,0,15,585887.773678,1500000.000000,0.000044,868.562596,842.844467,25.718130,15067937.760925,0.390592,0,1
20,I4_J20,ga_greedy_only,1,1,15,1913978.494624,1500000.000000,0.000044,936.746789,870.902789,65.844000,126024000.000000,1.275986,1,1
20,I4_J20,ga_greedy_only,1,0,16,100000.000000,1500000.000000,0.000003,853.112955,852.769355,0.343600,34360.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,16,100000.000000,1500000.000000,0.000003,819.060419,818.716819,0.343600,34360.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,0,17,100000.000000,1500000.000000,0.000009,801.213033,800.326133,0.886900,88690.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,17,315281.400011,1500000.000000,0.000009,839.741882,836.945651,2.796231,881599.541418,0.210188,0,1
20,I4_J20,ga_greedy_only,1,0,18,100000.000000,1500000.000000,0.000042,907.455934,903.296534,4.159400,415940.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,18,100000.000000,1500000.000000,0.000042,907.070218,902.910818,4.159400,415940.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,0,19,0.000000,1500000.000000,0.000045,941.437216,941.437216,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,19,299748.936567,1500000.000000,0.000045,854.487776,840.964003,13.523773,4053736.506498,0.199833,0,1
20,I4_J20,ga_greedy_only,2,0,0,0.000000,1500000.000000,0.000027,862.655137,862.655137,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,0,0.000000,1500000.000000,0.000027,926.999545,926.999545,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,1,0.000000,1500000.000000,0.000013,809.027682,809.027682,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,1,0.000000,1500000.000000,0.000013,890.173310,890.173310,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,2,0.000000,1500000.000000,0.000050,923.901352,923.901352,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,2,0.000000,1500000.000000,0.000050,921.584641,921.584641,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,3,0.000000,1500000.000000,0.000041,906.078369,906.078369,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,3,0.000000,1500000.000000,0.000041,902.216840,902.216840,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,4,0.000000,1500000.000000,0.000027,877.099034,877.099034,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,4,0.000000,1500000.000000,0.000027,879.055731,879.055731,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,5,0.000000,1500000.000000,0.000030,980.058050,980.058050,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,5,0.000000,1500000.000000,0.000030,941.096515,941.096515,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,6,0.000000,1500000.000000,0.000033,897.130788,897.130788,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,6,0.000000,1500000.000000,0.000033,893.248166,893.248166,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,7,0.000000,1500000.000000,0.000050,921.652600,921.652600,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,7,0.000000,1500000.000000,0.000050,907.039295,907.039295,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,8,0.000000,1500000.000000,0.000009,964.597013,964.597013,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,8,0.000000,1500000.000000,0.000009,864.525103,864.525103,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,9,0.000000,1500000.000000,0.000076,996.559651,996.559651,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,9,0.000000,1500000.000000,0.000076,906.757771,906.757771,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,10,0.000000,1500000.000000,0.000049,888.146005,888.146005,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,10,0.000000,1500000.000000,0.000049,971.283957,971.283957,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,11,0.000000,1500000.000000,0.000038,838.189030,838.189030,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,1,11,0.000000,1500000.000000,0.000038,858.504466,858.504466,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,2,0,12,0.000000,1500000.000000,0.000064,964.873022,964.873022,0.000000,0.000000,0.000000,0,0
